filename,loan_amount,currency
1995_june_28_678871468028135921_china--iodine-deficiency-disorders-control-project-_-loan-3914--loan-agreement--conformed.txt,7000000,$
1995_june_29_631351468020068151_brazil--rural-poverty-alleviation-project--bahia-_-loan-3917--loan-agreement--conformed.txt,105000000,$
1995_june_29_721921468016182018_brazil--rural-poverty-alleviation-project--ceara-_-loan-3918--loan-agreement--conformed.txt,70000000,$
1995_june_29_821181468020406686_brazil--recife-metropolitan-transport-decentralization-project-_-loan-3915--loan-agreement--conformed.txt,102000000,$
1995_june_6_547281468045543435_lebanon--solid-waste-environmental-management-project-_-loan-3899--loan-agreement--conformed.txt,55000000,$
"1995_june_8_162971468052158890_morocco--secondary,-tertiary-and-rural-roads-project-_-loan-3901--loan-agreement--conformed.txt",57650000,$
1995_june_8_230091468253814724_kazakhstan--structural-adjustment-loan-_-loan-3900--loan-agreement--conformed.txt,80000000,$
1995_march_21_746021468035974021_indonesia--kalimantan-urban-development-_-loan-3854--loan-agreement--conformed.txt,136000000,$
1995_march_21_838421468302940766_uruguay--health-sector-development-project-_-loan-3855--loan-agreement--conformed.txt,15600900,$
1995_march_23_194441468053648264_mauritius--higher-and-technical-education-project-_-loan-3859--loan-agreement--conformed.txt,16000000,$
1995_march_23_677901468010500558_argentina--second-municipal-development-project-_-loan-3860--loan-agreement--conformed.txt,210000000,$
1995_march_28_492161468118746654_venezuela--agricultural-extension-project-_-loan-3862--loan-agreement--conformed.txt,39000000,$
1995_march_30_536101468037750899_jordan--second-human-resources-development-sector-investment-project-_-loan-3864--loan-agreement--conformed.txt,60000000,$
1995_march_7_628461468294963375_romania--employment-and-social-protection-project-_-loan-3849--loan-agreement--conformed.txt,55400000,$
1995_march_7_757931468298473301_russia--housing-project-_-loan-3850--loan-agreement--conformed.txt,400000000,$
1995_march_9_251361468333889746_russia--tax-adminsitration-modernization-project-_-loan-3853--loan-agreement--conformed.txt,16800000,$
1995_march_9_378291468285563824_philippines--women_s-health-and-safe-motherhood-project-_-loan-3852--loan-agreement--conformed.txt,18000000,$
1995_march_9_767821468045250464_moldova--pre-export-guarantee-facility-project-_-loan-3851--loan-agreement--conformed.txt,30000000,$
1995_may_16_388981468296174031_russia--urban-transportation-project-_-loan-3885--loan-agreement--conformed.txt,329000000,$
1995_may_23_503941468170059617_thailand--clean-fuels-and-environmental-improvement-project-_-loan-3889--loan-agreement--conformed.txt,96000000,$
1995_may_23_505851468308076292_ukraine--seed-development-project-_-loan-3891--loan-agreement--conformed.txt,32000000,$
1995_may_23_587431468269438409_indonesia--book-and-reading-development-project-_-loan-3887--loan-agreement--conformed.txt,Error,
1995_may_25_104281468302407011_uzbekistan--cotton-sub-sector-improvement-project-_-loan-3894--loan-agreement--conformed.txt,66000000,$
1995_may_25_596771468307146651_turkey--antalya-water-supply-and-sanitation-project-_-loan-3893--loan-agreement--conformed.txt,100000000,$
1995_may_2_409061468246619834_dominican-republic--irrigated-land-and-watershed-management-project-_-loan-3875--loan-agreement--conformed.txt,28000000,$
1995_may_30_795591468039859235_kazakhstan--social-protection-project-_-loan-3896--loan-agreement--conformed.txt,41100000,$
1995_may_4_130651468099549753_st.-lucia--solid-waste-management-project-_-loan-3881--loan-agreement--conformed.txt,2280000,$
1995_may_4_252051468085445878_st.-vincent-and-the-grenadines--solid-waste-management-project-_-loan-3880--loan-agreement--conformed.txt,1810000,$
1995_may_4_951241468010499377_argentina--second-provincial-development-project-_-loan-3877--loan-agreement--conformed.txt,225000000,$
1995_may_9_674811468015658544_chile--secondary-education-quality-improvement-project-_-loan-3883--loan-agreement--conformed.txt,35000000,$
1995_may_9_984001468170059346_thailand--lam-takhong-pump-storage-project-_-loan-3884--loan-agreement--conformed.txt,100000000,$
1995_november_16_531881468246661097_colombia--santa-fe-i-water-supply-and-sewerage-rehabilitation-project-_-loan-3952--loan-agreement--conformed.txt,58000000,$
1995_november_28_181301468010196950_argentina--enterprise-export-development-project-_-loan-3960--loan-agreement--conformed.txt,38500000,$
1995_november_28_238441468296979011_poland--power-transmission-project-_-loan-3959--loan-agreement--conformed.txt,160000000,$
1995_november_30_870911468059050607_russia--standards-development-project-_-loan-3961--loan-agreement--conformed.txt,24000000,$
1995_november_9_668671468028495929_dominican-republic--second-basic-education-development-project-_-loan-3951--loan-agreement--conformed.txt,37000000,$
1995_november_9_836351468100160322_pakistan--telecommunications-regulation-and-privatization-support-project-_-loan-3950--loan-agreement--conformed.txt,35000000,$
1995_october_10_554031468057564749_loan-agreement-for-loan-3939-ph-conformed.txt,50000000,$
1995_september_14_180191468068335357_paraguay--secondary-education-improvement-project-_-loan-3941--loan-agreement--conformed.txt,24500000,$
