,Year,loan_amount,Country,world_region,GDP,Stability
292,1992,89000000.0,ecuador,latin amer. & carib,18094238119.0,
293,1992,37000000.0,indonesia,asia (ex. near east),128000000000.0,
294,1992,60000000.0,tunisia,northern africa,15497286296.0,
295,1992,600000000.0,russia,c.w. of ind. states,460000000000.0,
296,1992,57000000.0,algeria,northern africa,48003078389.0,
297,1992,180000000.0,pakistan,asia (ex. near east),48884606848.0,
298,1992,100000000.0,china,asia (ex. near east),427000000000.0,
299,1992,45000000.0,latvia,baltics,,
300,1992,60000000.0,lithuania,baltics,,
301,1992,30000000.0,estonia,baltics,,
302,1992,75000000.0,tunisia,northern africa,15497286296.0,
303,1993,420000000.0,china,asia (ex. near east),445000000000.0,
304,1993,27000000.0,guinea,sub-saharan africa,3279096606.0,
305,1993,20000000.0,mauritius,sub-saharan africa,3263368410.0,
306,1993,100000000.0,costa rica,latin amer. & carib,9582866263.0,
307,1993,134000000.0,philippines,asia (ex. near east),54368083953.0,
308,1993,91000000.0,hungary,eastern europe,40124916941.0,
309,1993,132000000.0,hungary,eastern europe,40124916941.0,
310,1993,150000000.0,poland,eastern europe,96045645026.0,
311,1993,165000000.0,iran,asia (ex. near east),63743623232.0,
312,1993,100000000.0,morocco,northern africa,31655473664.0,
313,1993,120000000.0,oman,near east,12493107932.0,
314,1993,107000000.0,malaysia,asia (ex. near east),66894837030.0,
315,1993,12000000.0,armenia,c.w. of ind. states,1201312829.0,
316,1993,80000000.0,indonesia,asia (ex. near east),158000000000.0,
317,1993,610000000.0,russia,c.w. of ind. states,435000000000.0,
318,1993,110000000.0,philippines,asia (ex. near east),54368083953.0,
319,1993,110000000.0,philippines,asia (ex. near east),54368083953.0,
320,1993,8300000.0,belarus,c.w. of ind. states,,
321,1993,80000000.0,slovenia,eastern europe,,
322,1993,325000000.0,china,asia (ex. near east),445000000000.0,
323,1993,300000000.0,china,asia (ex. near east),445000000000.0,
324,1993,146000000.0,poland,eastern europe,96045645026.0,
325,1993,56500000.0,indonesia,asia (ex. near east),158000000000.0,
326,1993,100000000.0,morocco,northern africa,31655473664.0,
327,1993,150000000.0,china,asia (ex. near east),445000000000.0,
328,1993,120000000.0,belarus,c.w. of ind. states,,
329,1993,250000000.0,china,asia (ex. near east),445000000000.0,
330,1993,69000000.0,tunisia,northern africa,14608946896.0,
331,1993,120000000.0,tunisia,northern africa,14608946896.0,
332,1993,50000000.0,malaysia,asia (ex. near east),66894837030.0,
333,1993,32000000.0,morocco,northern africa,31655473664.0,
334,1993,128000000.0,morocco,northern africa,31655473664.0,
335,1993,22000000.0,costa rica,latin amer. & carib,9582866263.0,
336,1993,67000000.0,turkey,near east,180000000000.0,
337,1993,100000000.0,china,asia (ex. near east),445000000000.0,
338,1993,100000000.0,china,asia (ex. near east),445000000000.0,
339,1993,70000000.0,ecuador,latin amer. & carib,18938717359.0,
340,1993,150000000.0,china,asia (ex. near east),445000000000.0,
341,1993,4500000.0,seychelles,sub-saharan africa,473916819.5,
342,1993,22500000.0,gabon,sub-saharan africa,4378645081.0,
343,1993,93500000.0,indonesia,asia (ex. near east),158000000000.0,
344,1993,307000000.0,indonesia,asia (ex. near east),158000000000.0,
345,1993,130000000.0,egypt,northern africa,46578631453.0,
346,1993,40000000.0,algeria,northern africa,49945599429.0,
347,1993,63000000.0,philippines,asia (ex. near east),54368083953.0,
348,1993,35000000.0,jordan,near east,5605841536.0,
349,1993,29000000.0,hungary,eastern europe,40124916941.0,
350,1993,35000000.0,guinea,sub-saharan africa,3279096606.0,
351,1993,6900000.0,guinea,sub-saharan africa,3279096606.0,
352,1993,20000000.0,india,asia (ex. near east),279000000000.0,
353,1993,66000000.0,morocco,northern africa,31655473664.0,
354,1993,12000000.0,morocco,northern africa,31655473664.0,
355,1993,4000000.0,morocco,northern africa,31655473664.0,
356,1993,215000000.0,morocco,northern africa,31655473664.0,
357,1993,40000000.0,morocco,northern africa,31655473664.0,
358,1993,12000000.0,morocco,northern africa,31655473664.0,
359,1993,100000000.0,morocco,northern africa,31655473664.0,
360,1993,35000000.0,china,asia (ex. near east),445000000000.0,
361,1993,300000000.0,india,asia (ex. near east),279000000000.0,
362,1993,104000000.0,indonesia,asia (ex. near east),158000000000.0,
363,1993,27000000.0,ukraine,c.w. of ind. states,65607522124.0,
364,1993,15000000.0,fiji,oceania,1636074718.0,
365,1993,51300000.0,philippines,asia (ex. near east),54368083953.0,
366,1993,26000000.0,moldova,c.w. of ind. states,,
367,1993,200000000.0,algeria,northern africa,49945599429.0,
368,1993,100000000.0,china,asia (ex. near east),445000000000.0,
369,1993,350000000.0,india,asia (ex. near east),279000000000.0,
370,1993,20000000.0,jordan,near east,5605841536.0,
371,1993,12500000.0,turkey,near east,180000000000.0,
372,1993,117000000.0,turkey,near east,180000000000.0,
373,1993,77000000.0,turkey,near east,180000000000.0,
374,1993,90000000.0,hungary,eastern europe,40124916941.0,
375,1993,25306012.688800003,eritrea,sub-saharan africa,467872714.8,
376,1993,157000000.0,iran,asia (ex. near east),63743623232.0,
377,1993,141400000.0,iran,asia (ex. near east),63743623232.0,
378,1993,75000000.0,india,asia (ex. near east),279000000000.0,
379,1993,90000000.0,russia,c.w. of ind. states,435000000000.0,
380,1993,32000000.0,indonesia,asia (ex. near east),158000000000.0,
381,1993,30500000.0,egypt,northern africa,46578631453.0,
382,1993,32000000.0,indonesia,asia (ex. near east),158000000000.0,
383,1993,42100000.0,indonesia,asia (ex. near east),158000000000.0,
384,1993,54000000.0,indonesia,asia (ex. near east),158000000000.0,
385,1993,155000000.0,indonesia,asia (ex. near east),158000000000.0,
386,1993,80000000.0,czech republic,eastern europe,40866748705.0,
387,1993,80000000.0,jordan,near east,5605841536.0,
388,1993,450000000.0,poland,eastern europe,96045645026.0,
389,1993,38000000.0,kazakhstan,c.w. of ind. states,23409260880.0,
390,1993,180000000.0,kazakhstan,c.w. of ind. states,23409260880.0,
391,1993,60000000.0,moldova,c.w. of ind. states,,
392,1993,150000000.0,pakistan,asia (ex. near east),51809949334.0,
393,1993,150000000.0,pakistan,asia (ex. near east),51809949334.0,
394,1993,20000000.0,guatemala,latin amer. & carib,11399942453.0,
395,1993,300000000.0,poland,eastern europe,96045645026.0,
396,1994,250000000.0,china,asia (ex. near east),564000000000.0,
397,1994,140000000.0,china,asia (ex. near east),564000000000.0,
398,1994,27700000.0,indonesia,asia (ex. near east),177000000000.0,
399,1994,350000000.0,indonesia,asia (ex. near east),177000000000.0,
400,1994,70000000.0,russia,c.w. of ind. states,395000000000.0,
401,1994,58000000.0,venezuela,latin amer. & carib,58418666667.0,
402,1994,90000000.0,zimbabwe,sub-saharan africa,6890675000.0,
403,1994,41900000.0,belarus,c.w. of ind. states,17793000000.0,
404,1994,94000000.0,india,asia (ex. near east),327000000000.0,
405,1994,25000000.0,japan,asia (ex. near east),5000000000000.0,
406,1994,39000000.0,colombia,latin amer. & carib,81703500846.0,
407,1994,54000000.0,venezuela,latin amer. & carib,58418666667.0,
408,1994,12000000.0,ecuador,latin amer. & carib,22708673337.0,
409,1994,11000000.0,colombia,latin amer. & carib,81703500846.0,
410,1994,80000000.0,jordan,near east,6237739516.0,
411,1994,6600000.0,jordan,near east,6237739516.0,
412,1994,51000000.0,algeria,northern africa,42543178042.0,
413,1994,250000000.0,pakistan,asia (ex. near east),52293456906.0,
414,1994,35700000.0,lebanon,near east,9599127050.0,
415,1994,500000000.0,ukraine,c.w. of ind. states,52543388913.0,
416,1994,121000000.0,morocco,northern africa,35604137423.0,
417,1994,4000000.0,latvia,baltics,,
418,1994,15700000.0,kazakhstan,c.w. of ind. states,21250792886.0,
419,1994,12000000.0,tunisia,northern africa,15632463424.0,
420,1994,7000000.0,tunisia,northern africa,15632463424.0,
421,1994,4000000.0,tunisia,northern africa,15632463424.0,
422,1994,6000000.0,tunisia,northern africa,15632463424.0,
423,1994,10000000.0,tunisia,northern africa,15632463424.0,
424,1994,50000000.0,tunisia,northern africa,15632463424.0,
425,1994,8000000.0,tunisia,northern africa,15632463424.0,
426,1994,7000000.0,tunisia,northern africa,15632463424.0,
427,1994,10000000.0,tunisia,northern africa,15632463424.0,
428,1994,6000000.0,tunisia,northern africa,15632463424.0,
429,1994,40000000.0,macedonia,eastern europe,3556581986.0,
430,1994,25000000.0,latvia,baltics,,
431,1994,200000000.0,mexico,latin amer. & carib,528000000000.0,
432,1994,80000000.0,slovakia,eastern europe,20162936291.0,
433,1994,27500000.0,tunisia,northern africa,15632463424.0,
434,1994,70000000.0,malaysia,asia (ex. near east),74478356958.0,
435,1994,70000000.0,malaysia,asia (ex. near east),74478356958.0,
436,1994,41645390.608,macedonia,eastern europe,3556581986.0,
437,1994,41645390.608,macedonia,eastern europe,3556581986.0,
438,1994,90000000.0,zimbabwe,sub-saharan africa,6890675000.0,
439,1994,41000000.0,uruguay,latin amer. & carib,17474647792.0,
440,1994,30000000.0,algeria,northern africa,42543178042.0,
441,1994,11000000.0,guinea,sub-saharan africa,3383092828.0,
442,1994,13200000.0,jamaica,latin amer. & carib,5452564385.0,
443,1994,85000000.0,mexico,latin amer. & carib,528000000000.0,
444,1994,7700000.0,mauritius,sub-saharan africa,3558137040.0,
445,1994,400000000.0,china,asia (ex. near east),564000000000.0,
446,1994,65000000.0,indonesia,asia (ex. near east),177000000000.0,
447,1994,260500000.0,austria,western europe,204000000000.0,
448,1994,58900000.0,indonesia,asia (ex. near east),177000000000.0,
449,1994,165700000.0,indonesia,asia (ex. near east),177000000000.0,
450,1994,50000000.0,india,asia (ex. near east),327000000000.0,
451,1994,93000000.0,india,asia (ex. near east),327000000000.0,
452,1994,25000000.0,paraguay,latin amer. & carib,7870982005.0,
453,1994,11500000.0,belize,latin amer. & carib,581269536.4,
454,1994,110000000.0,algeria,northern africa,42543178042.0,
455,1994,175600000.0,oman,near east,12918855657.0,
456,1994,128000000.0,croatia,eastern europe,,
457,1994,30000000.0,gabon,sub-saharan africa,4190819314.0,
458,1994,200000000.0,russia,c.w. of ind. states,395000000000.0,
459,1994,240000000.0,russia,c.w. of ind. states,395000000000.0,
460,1994,174000000.0,indonesia,asia (ex. near east),177000000000.0,
461,1994,80000000.0,russia,c.w. of ind. states,395000000000.0,
462,1994,55000000.0,indonesia,asia (ex. near east),177000000000.0,
463,1994,300000000.0,russia,c.w. of ind. states,395000000000.0,
