file_name,sector,agreement_date,year
1995_july_11_745691468229459639_brazil--environmental-conservation-and-rehabilitation-project-_-loan-3924--loan-agreement--conformed.txt,environmental-conservation-and-rehabilitation,1995_july_11,1995
1995_july_20_576451469672147289_conformed-copy--l3686--roads-rehabilitation-project--loan-agreement.txt,roads-rehabilitation,1995_july_20,1995
1995_july_25_507541468010501278_argentina--bank-reform-loan-_-loan-3926--loan-agreement--conformed.txt,bank-reform,1995_july_25,1995
1995_july_25_920151468005132514_argentina--mining-development-technical-assistance-project-_-loan-3927--loan-agreement--conformed.txt,mining-development-technical-assistance,1995_july_25,1995
1995_july_6_202121468246912314_el-salvador--energy-sector-modernization-project-_-loan-3920--loan-agreement--conformed.txt,energy-sector-modernization,1995_july_6,1995
1995_july_6_583881468215358825_bulgaria--railway-rehabilitation-project-_-loan-3922--loan-agreement--conformed.txt,railway-rehabilitation,1995_july_6,1995
1995_july_6_755661468033556146_india--bombay-sewage-disposal-project-_-loan-3923--loan-agreement--conformed.txt,bombay-sewage-disposal,1995_july_6,1995
1995_june_15_257361468269438709_indonesia--telecommunications-sector-modernization-project-_-loan-3904--loan-agreement--conformed.txt,telecommunications-sector-modernization,1995_june_15,1995
1995_june_15_625341468240579194_china--southwest-poverty-reduction-project-_-loan-3906--loan-agreement--conformed.txt,southwest-poverty-reduction,1995_june_15,1995
1995_june_15_726181468282873956_indonesia--fourth-health-project-_-loan-3905--loan-agreement--conformed.txt,fourth-health,1995_june_15,1995
1995_june_20_263311468271505326_mauritius--port-development-and-environmental-protection-project-_-loan-3909--loan-agreement--conformed.txt,port-development-and-environmental-protection,1995_june_20,1995
1995_june_20_290671468300569535_mauritius--port-development-and-environmental-protection-project-_-loan-3908--loan-agreement--conformed.txt,port-development-and-environmental-protection,1995_june_20,1995
1995_june_20_815091468019446949_china--inland-waterways-project-_-loan-3910--loan-agreement--conformed.txt,inland-waterways,1995_june_20,1995
1995_june_20_988951468250492362_india--second-madras-water-supply-project-_-loan-3907--loan-agreement--2--conformed.txt,second-madras-water-supply,1995_june_20,1995
1995_june_22_306591468282874266_indonesia--second-technical-assistance-project-for-private-provision-of-infrastructure-_-loan-3913--loan-agreement--conformed.txt,second-technical-assistance,1995_june_22,1995
1995_june_22_550361468270260189_mexico--financial-sector-restructuring-loan-_-loan-3911--loan-agreement--conformed.txt,financial-sector-restructuring,1995_june_22,1995
1995_june_22_787521468270603560_mexico--essential-social-services-program-_-loan-3912--loan-agreement--conformed.txt,essential-social-services,1995_june_22,1995
1995_june_28_678871468028135921_china--iodine-deficiency-disorders-control-project-_-loan-3914--loan-agreement--conformed.txt,iodine-deficiency-disorders-control,1995_june_28,1995
1995_june_29_631351468020068151_brazil--rural-poverty-alleviation-project--bahia-_-loan-3917--loan-agreement--conformed.txt,rural-poverty-alleviation,1995_june_29,1995
1995_june_29_721921468016182018_brazil--rural-poverty-alleviation-project--ceara-_-loan-3918--loan-agreement--conformed.txt,rural-poverty-alleviation,1995_june_29,1995
1995_june_29_821181468020406686_brazil--recife-metropolitan-transport-decentralization-project-_-loan-3915--loan-agreement--conformed.txt,recife-metropolitan-transport-decentralization,1995_june_29,1995
1995_june_6_547281468045543435_lebanon--solid-waste-environmental-management-project-_-loan-3899--loan-agreement--conformed.txt,solid-waste-environmental-management,1995_june_6,1995
"1995_june_8_162971468052158890_morocco--secondary,-tertiary-and-rural-roads-project-_-loan-3901--loan-agreement--conformed.txt","secondary,-tertiary-and-rural-roads",1995_june_8,1995
1995_june_8_230091468253814724_kazakhstan--structural-adjustment-loan-_-loan-3900--loan-agreement--conformed.txt,structural-adjustment,1995_june_8,1995
