filename,loan_amount,currency
1991_december_23_984961468245991797_conformed-copy--c2323--human-resources-development-credit--loan-agreement.txt,125000000,$
1991_december_5_391091468051849169_conformed-copy--c2316--structural-adjustment-loan--loan-agreement.txt,250000000,$
1991_december_9_878011468233700064_conformed-copy--l3414--basic-education-rehabilitation-project--loan-agreement.txt,23000000,$
1991_february_11_164661468281042835_conformed-copy--l3277--environmental-monitoring-and-development-project--loan-agreement.txt,12370000,$
1991_february_13_557691468023066801_conformed-copy--l3198--second-pumping-stations-rehabilitation-project--loan-agreement.txt,31000000,$
1991_february_15_781641468006595642_conformed-copy--l3269--science-research-and-training-project--loan-agreement.txt,150000000,$
1991_february_27_660491468204858318_conformed-copy--l3266--science-and-technology-university-development-project--loan-agreement.txt,65000000,$
1991_january_11_818281468251392771_conformed-copy--c2100--integrated-watershed-development-hills-project--loan-agreement.txt,13000000,$
1991_january_14_586211468016831432_conformed-copy--l3268--private-sector-finance-project--loan-agreement.txt,300000000,$
1991_january_15_228881468334837802_conformed-copy--l3273--second-railways-project--loan-agreement.txt,38600000,$
1991_january_16_671701468292861096_conformed-copy--l3282--fertilizer-restructuring-project--loan-agreement.txt,221700000,$
1991_january_17_919131468230936334_conformed-copy--c2186--rural-industrial-technology-spark-project--loan-agreement.txt,50000000,$
1991_january_18_539881468270888981_conformed-copy--l3271--water-supply-and-sanitation-sector-project--loan-agreement.txt,300000000,$
1991_january_23_692111468057300727_conformed-copy--l3287--industrial-restructuring-project--loan-agreement.txt,175000000,$
1991_january_30_418061468224673627_conformed-copy--c2201--medium-sized-cities-development-project--loan-agreement.txt,79400000,$
1991_january_8_425391468007245971_conformed-copy--l3210--industrial-restructuring-demonstration-project--emb--loan-agreement.txt,47600000,$
1991_january_8_493291468003299558_conformed-copy--l3212--industrial-restructuring-demonstration-project--emb--loan-agreement.txt,12700000,$
1991_january_8_497391468010235364_conformed-copy--l3211-industrial-restructuring-demonstration-project--emb--loan-agreement.txt,29200000,$
1991_january_8_624871468007279337_conformed-copy--l3213--industrial-restructuring-demonstration-project--emb--loan-agreement.txt,5000000,$
1991_january_8_792741468194634829_conformed-copy--l3214--industrial-restructuring-demonstration-project--emb--loan-agreement.txt,5000000,$
1991_january_8_887461468236956510_china--medium-sized-cities-development-project-_-credit-2201--loan-agreement--conformed.txt,79400000,$
1991_july_10_359251468293443277_conformed-copy--l3342--privatization-and-restructuring-project--loan-agreement.txt,280000000,$
1991_july_10_662501468296689478_conformed-copy--l3343--agricultural-development-project--loan-agreement.txt,100000000,$
1991_july_11_195271468095380036_conformed-copy--c2277--environment-and-natural-resources-sector-adjustment--loan-agreement.txt,158000000,$
1991_july_11_250871468095349511_conformed-copy--l3356--rural-finance-project--loan-agreement.txt,150000000,$
1991_july_11_271811468250519320_conformed-copy--l3364--gas-flaring-reduction-project--loan-agreement.txt,Error,
1991_july_11_727591468022756661_conformed-copy--l3387--ertan-hydroelectric-project--loan-agreement.txt,380000000,$
1991_july_12_704341468052437661_conformed-copy--l3344--private-power-utilities-bses-project--loan-agreement.txt,200000000,$
1991_july_17_119251468042936547_conformed-copy--l3355--dead-sea-industrial-exports-project--loan-agreement.txt,15000000,$
1991_july_19_283861468284330534_conformed-copy--l3329--housing-project--loan-agreement.txt,100000000,$
1991_july_19_590631468273633666_conformed-copy--l3330--health-technology-project--loan-agreement.txt,60000000,$
1991_july_22_503091511293998619_conformed-copy--l3384--technical-assistance-for-economic-reform-project--loan-agreement.txt,17000000,$
1991_july_24_700141468033732142_conformed-copy--l3391--oil-and-gas-sector-development-loan--loan-agreement.txt,Error,
1991_july_25_644141468167963900_conformed-copy--l3339--second-family-health-project--loan-agreement.txt,25000000,$
1991_july_31_466001468260666283_conformed-copy--l3374--structural-adjustment-loan--loan-agreement-2.txt,450000000,$
1991_july_31_574861468246576122_conformed-copy--l3374--structural-adjustment-loan--loan-agreement-3.txt,450000000,$
1991_july_31_648121468246906673_conformed-copy--l3374--structural-adjustment-loan--loan-agreement-1.txt,450000000,$
1991_july_31_940131468096262445_conformed-copy--c2245--third-on-farm-water-management-project--loan-agreement.txt,36300000,$
1991_july_3_268481468145745800_conformed-copy--l3338--employment-promotion-and-services-project--loan-agreement.txt,100000000,$
1991_july_3_369791468145482393_conformed-copy--l3363--technical-assistance-and-critical-imports-project--loan-agreement.txt,180000000,$
