proj_name,countries,max_country,world_region
1996_january_18_695781468057888949_romania--financial-and-enterprise-sector-adjustment-loan-_-loan-3975--loan-agreement--conformed.txt,"[['france', 'germany', 'oman', 'romania', 'united states'], [1, 1, 6, 6, 2]]",oman,near east
1994_may_26_176051468203645568_belarus--forestry-development-project-_-loan-3741--loan-agreement--conformed.txt,"[['belarus', 'united states'], [5, 1]]",belarus,c.w. of ind. states
1994_may_17_575521468231299584_brazil--basic-education-quality-improvement-project-_-loan-3733--loan-agreement--conformed.txt,"[['brazil', 'united states'], [9, 1]]",brazil,latin amer. & carib
1995_june_15_257361468269438709_indonesia--telecommunications-sector-modernization-project-_-loan-3904--loan-agreement--conformed.txt,"[['france', 'indonesia', 'japan', 'united states'], [1, 10, 6, 2]]",indonesia,asia (ex. near east)
2018_march_21_242371523655115729_official-documents-loan-agreement-for-loan-8831-yf-closing-package.txt,"[['serbia', 'united states'], [30, 1]]",serbia,eastern europe
1996_january_18_949521468090881196_romania--railway-rehabilitation-project-_-loan-3976--loan-agreement--conformed.txt,"[['oman', 'romania', 'united states'], [8, 3, 2]]",oman,near east
1990_may_15_598881468034838695_india--integrated-watershed-development-plains-project-_-loan-3197--loan-agreement--conformed.txt,"[['india', 'united states'], [5, 2]]",india,asia (ex. near east)
2014_october_9_523851468092973770_official-documents-loan-agreement-for-loan-8449-yf-closing-package.txt,"[['mali', 'serbia', 'united states'], [1, 9, 1]]",serbia,eastern europe
1995_march_21_746021468035974021_indonesia--kalimantan-urban-development-_-loan-3854--loan-agreement--conformed.txt,"[['indonesia', 'mali', 'peru', 'united states'], [7, 1, 2, 2]]",indonesia,asia (ex. near east)
2019_july_22_400861565120830605_official-documents-loan-agreement-for-loan-8946-ec-closing-package.txt,"[['ecuador', 'united states'], [7, 1]]",ecuador,latin amer. & carib
1994_may_10_689901468249040057_ecuador--irrigation-subsector-technical-assistance-project-_-loan-3730--loan-agreement--conformed.txt,"[['ecuador', 'united states'], [15, 1]]",ecuador,latin amer. & carib
2017_september_20_915231506617056075_official-documents-loan-agreement-for-loan-8664-uz-closing-package.txt,"[['united states', 'uzbekistan'], [2, 11]]",uzbekistan,c.w. of ind. states
"2008_november_11_357611468299187972_loan-agreement,-l7614-mx-conformed.txt","[[], []]",None,None
"2013_august_19_715661468215998927_official-documents-loan-agreement,-l8200-br-closing-package.txt","[['brazil', 'chad', 'united states'], [4, 1, 1]]",brazil,latin amer. & carib
