Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Fiji,..,..,..,..,..,..,66.9,71.77151489,73.08958435,74.40281677,75.71011353,77.01029205,79.63,80,80.85640717,82.11653137,83.36753082,88.9,86.16,87.12715149,89.1906662,90.10233307,91.02597809,91.75,93.74333954,95.12813568,96.5249939,96,99.33879089,100
Finland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
France,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
French Polynesia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Gabon,..,..,..,..,..,..,..,..,..,..,73.6,77.13812256,77.86385345,78.5801239,79.28574371,81.6,80.66454315,81.34632111,82.03128815,82.72566986,89.48566437,88.87747955,89.3,86.4,86.98995209,87.32967377,88.16036987,86.27,89.84184265,90.68525696
"Gambia, The",..,..,..,17.7,18.25004959,19.92144394,21.59011841,23.25539207,24.91658783,26.57294083,34.3,29.86666489,31.50168228,27.8,34.74214935,30.4562675,37.93951416,39.53058243,41.12483215,42.728508,47.41400146,48.81459427,50.1972847,51.5,52.95340729,54.44612503,55.99819565,56.2,60.3,59.92128754
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,99.9,100,99.93,97.93505412,100,100,100,100,100,100,100,100,100,100,100,100,99.9,100
Germany,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ghana,..,..,..,30.6,30.36940575,32.4504509,34.52877045,36.60369492,42.6,40.74053955,43.7,44.8535614,46.89822769,48.3,50.95799255,41.25,55.09345008,56.97537231,60.5,60.99259567,64.2,64.06256,56.51,70.7,78.3,74.17105103,79.3,79,80.4,83.5
Gibraltar,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Greece,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Greenland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Grenada,..,..,..,..,..,..,..,..,85.04,85.52946472,85.93244171,86.32830811,86.71588898,87.0940094,87.46147919,87.81729126,88.16397095,88.50760651,90,89.21065521,89.58255005,88.8,90.39653778,90.84085846,91.30526733,92.20235443,93.19223785,94.09955597,94.82138824,95.42874146
Guam,99.84430695,99.87581635,99.90686798,99.93725586,99.96508026,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Guatemala,..,..,..,..,..,60.8,67.67993927,68.90407562,70.12413025,70.9,73.318205,73.75078583,78.667838,78.512204,77.30284882,78.46495819,83.730998,80.76786804,81.92097473,83.08351135,84.26170349,84.026414,86.68829346,87.93890381,85.494371,90.49639893,91.79523468,93.3,94.41300964,95.72457123
Guinea,..,..,..,..,..,..,..,..,..,16.4,15.46630478,16.70739174,17.94019127,19.16352463,20.3762188,20.2,22.76914978,23.95799637,25.15003014,26.3514843,27.56859589,28.80760193,26.2,31.36256409,32.67219543,33.9978981,33.5,35.4,44,42.41838837
Guinea-Bissau,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.5361991,7.998231411,9.323233604,4.7,6,13.37971306,14.7781086,16.20061493,17.2,20.14110756,23.04921532,26,28.51482964,31.0404129
Guyana,..,..,..,72.376631,70.71398163,71.35198212,71.98726654,72.61915588,73.24695587,73.86991882,74.48694611,75.09686279,75.69849396,76.29065704,76.87217712,77.5,73.38258786,78.56044006,79.12129974,77.6,82.98226166,83.99753571,84.99491119,85.97098541,86.9,88.08779907,89.25455475,90.33874512,91.23745728,92.02169037
Haiti,..,..,..,..,..,31.3,30.01301765,30.55703735,31.09697533,31.63207245,33.7,31.542382,33.19704437,31.6,34.19499969,34.67699432,33.9,35.61966324,36.092659,36.57507706,37.07315063,37.59311676,37.9,38.71000671,39.4816246,40.75870895,40.4,43.34903336,44.41743088,45.37134552
Honduras,..,54.781937,58.913112,61.100156,64.733947,66.122022,61.68112,64.794754,66.859519,67.394103,67.37645721,64.2,63.141137,65.090464,67.113528,68.903309,71.266448,73.548187,76.396899,78.269685,80.984668,82.195298,83.607727,87.184881,88.653773,89.98171,91.6,86.5,91.6,92.77952576
"Hong Kong SAR, China",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Hungary,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Iceland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
India,..,..,..,50.9,49.81130981,51.40877533,53.00352097,54.59486389,56.18213272,60.1,59.34104538,55.8,62.3,64.02313232,64.4,67.09343719,67.9,70.13076019,71.6510849,75,76.3,67.6,79.9,80.73804474,83.58521271,88,89.53488159,92.45683289,95.19329834,97.81528473
Indonesia,..,48.9,66.69656372,55.43,62.8,66.86,72.39,80.3,80.94,83.73,86.3,86.26,87.6,87.94,89.01,85.42111206,90.62,91.1,92.73,93.55,94.15,94.83,96,96.46425831,97.01,97.53736744,97.62,98.14,98.51,98.85
iran,..,..,..,..,..,..,..,..,..,..,97.9,98.11628723,98.24790955,98.37006378,98.48157501,98.58142853,98.4,98.7598114,98.85066223,99.71,99.64732361,99.69103241,99.71684265,99.83,100,99.96,99.95,99.94,100,100
Iraq,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.62211156,98.1,97.96062469,98.09731293,98.25507355,98,99.3,98.84931946,99.09417725,99.35511017,99.65268707,99.83660889,99.9,100
Ireland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Isle of Man,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Israel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Italy,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Jamaica,70.334586,77.22886658,78.03292084,78.83629608,79.63831329,80.43829346,85.706045,82.02940369,82.81917572,84.554112,84.38311005,87.708112,86.681291,86.67273712,87.41622925,88.14806366,88.87075806,89.59040833,92,91.04549408,92.2,91.1,93.1,93.9,93.3,94.9,96.7452774,97.62187195,98.50248718,99.3837738
Japan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Jordan,96.8,97.85468292,97.97486115,98.09436035,98.21250153,98.32859802,98.44197845,98.9,98.65785217,98.75891113,98.85403442,98.94203949,99.5,99.09201813,99.17343682,99.19959259,100,98.8,100,99.4,100,99.71602631,99.5,99.76028442,99.88537598,99.96422577,99.99480438,100,99.9,100
Kazakhstan,..,..,..,..,..,99.9,99.19211578,99.26947021,99.34275055,97,99.47368622,99.65,99.81,99.92,99.96,100,99.76654765,100,100,100,100,99.79746835,100,100,100,100,100,100,100,100
Kenya,..,..,..,10.9,3.473436832,5.427343369,7.378530502,9.326317787,14.5,13.20889187,15.14182186,17.0676403,18.98517036,16,22.79066277,24.67642593,26.55305481,28.42663383,30.30339813,23,19.2,36.01516342,37.96532059,39.93959045,36,41.6,53.1,56.09143066,61.43641663,69.7
Kiribati,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69.67640546,68.8,67.47807312,69.90923309,64.19,63.16773671,77.28418732,79.78873444,82.31739807,84.86615753,90.55818141,93.63700867,98.6,99.22225952,100
"Korea, Dem. People's Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26,29.29593086,31.45312309,33.63673401,35.84445572,38.07227325,40.31616211,42.57210541,44.83608627,47.10408783,49.37275696
"Korea, Rep.",99.88284302,99.91267395,99.94221497,99.96943665,99.98912048,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Kosovo,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,99.75,99.75,99.68,99.86,99.8,99.8,100,100
Kuwait,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
