,x,y
"2005_august_22_386651468023457909_loan-agreement,-l7278-sv-conformed.txt",-11.386905,1.2190496
1996_june_7_209501468011737729_conformed-copy--l4001--animal-feed-project--loan-agreement.txt,11.072165,-17.168571
1995_september_28_414161468236076125_el-salvador--competitiveness-enhancement-technical-assistance-project-_-loan-3946--loan-agreement--conformed.txt,-19.661451,15.825954
2002_september_25_513911468302356353_conformed-copy--l7146--municipal-financial-management-technical-assistance-project--loan-agreement.txt,-29.639433,20.647469
1997_august_4_793151468041699226_conformed-copy--l4207--safe-motherhood-project_-a-partnership-and-family-approach--loan-agreement.txt,-37.20438,-27.306736
2003_june_18_748211468123872992_conformed-copy--l4700--asset-management-reform-sector-adjustment-loan--loan-agreement.txt,-8.900917,59.81088
"2004_november_30_663111468251395449_loan-agreement,-l4750-in-madhya-pradesh-water-sector-restructuring-project--conformed.txt",15.158657,-17.101135
"2005_october_4_255091468005698979_loan-agreement,-l7253-br-conformed.txt",-25.980354,14.321119
1994_february_25_868191468278668693_malaysia--second-rubber-industry-smallholders-development-authority-project-_-loan-3699--loan-agreement--conformed.txt,10.26257,-32.97076
2002_september_12_604961468093864042_conformed-copy--l7118--second-social-expenditure-management-project--loan-agreement.txt,-63.30924,-12.384198
2018_july_9_411021533223500391_official-documents-loan-agreement-for-loan-8838-lb-and-cff-grant-tf0a7880-closing-package.txt,28.78842,-57.746185
1999_may_28_762841468267592009_conformed-copy--l4471--social-safety-net-adjustment-loan--loan-agreement.txt,-5.2441587,62.468044
2015_december_28_524341468102264462_official-documents-loan-agreement-for-loan-8569-tr-closing-package.txt,0.05433454,32.681446
2006_october_3_237401468095979417_loan-agreement-l7393-ph-conformed.txt,-65.26891,-1.343321
1995_june_6_155241468296174426_russia--second-rehabilitation-loan-_-loan-3898--loan-agreement--conformed.txt,1.7828742,58.115845
1996_june_27_348101468310516312_conformed-copy--l4057--enterprise-development-adjustment-loan--loan-agreement.txt,-17.835604,14.455844
1992_february_14_298081468282308865_conformed-copy--l3436--power-utilities-efficiency-improvement-project--loan-agreement.txt,52.944347,15.685563
2006_september_21_611831468238773260_loan-agreement-l7338-br-conformed.txt,-9.743062,-7.386278
1998_october_5_987681468054589822_conformed-copy--l4289--water-resources-management-project--loan-agreement.txt,25.012049,-12.056934
1999_december_14_573471468095978393_conformed-copy--l4522--mindanao-rural-development-project--loan-agreement.txt,3.200576,-14.863497
"2015_september_14_194951468271236009_official-documents-loan-agreement,-loan-8448-mx-closing-package.txt",-70.8251,0.37375525
1999_june_3_521361468113972997_conformed-copy--l4475--export-development-project--loan-agreement.txt,-17.11007,4.758188
2002_september_30_290091468051037157_conformed-copy--l7108--basic-education-development-project--phase-ii--loan-agreement.txt,-67.13732,-4.635048
1995_august_29_796761468145483049_conformed-copy--l3936--power-sector-rehabilitation-and-modernization-project--loan-agreement.txt,47.45862,16.493309
2015_september_10_305481468090274881_official-documents-loan-agreement-for-loan-8524-pl-closing-package.txt,42.18936,-24.72486
2018_may_8_932051525875091433_official-documents-loan-agreement-for-loan-8794-uy.txt,1.5922331,-20.563496
1996_december_19_511321526568430956_conformed-copy--l3985--housing-project--loan-agreement.txt,5.5317974,-15.387166
